tariff,month,minutes_spent,messages_sent,gb_used,user_id,min_per_user,mes_per_user,gb_per_user
smart,1,6931,620,297,34,203.9,18.2,8.7
smart,2,17324,1397,687,58,298.7,24.1,11.8
smart,3,30034,2453,1173,77,390.1,31.9,15.2
smart,4,41119,3443,1526,112,367.1,30.7,13.6
smart,5,54618,4762,2243,141,387.4,33.8,15.9
smart,6,64885,5478,2616,164,395.6,33.4,16.0
smart,7,82079,6784,3191,201,408.4,33.8,15.9
smart,8,99045,7905,3933,235,421.5,33.6,16.7
smart,9,111439,8746,4262,260,428.6,33.6,16.4
smart,10,125284,9927,4963,294,426.1,33.8,16.9
smart,11,137544,10768,5372,316,435.3,34.1,17.0
smart,12,161275,12130,6134,337,478.6,36.0,18.2
ultra,1,3853,304,119,9,428.1,33.8,13.2
ultra,2,7131,527,288,24,297.1,22.0,12.0
ultra,3,18117,1195,653,37,489.6,32.3,17.6
ultra,4,25191,1736,933,55,458.0,31.6,17.0
ultra,5,34192,2536,1298,67,510.3,37.9,19.4
ultra,6,40295,3505,1591,84,479.7,41.7,18.9
ultra,7,49667,4536,1866,91,545.8,49.8,20.5
ultra,8,54653,5183,2097,107,510.8,48.4,19.6
ultra,9,62036,6013,2213,115,539.4,52.3,19.2
ultra,10,68644,7187,2468,123,558.1,58.4,20.1
ultra,11,72545,7476,2654,134,541.4,55.8,19.8
ultra,12,82400,8425,3022,139,592.8,60.6,21.7
