user_id,tariff,month,minutes_spent,messages_sent,gb_used,minutes_included,messages_included,mb_per_month_included,rub_per_minute,rub_per_message,rub_per_gb,rub_monthly_fee,city,revenue
1000,ultra,5,159,22,3,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1000,ultra,6,172,60,23,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1000,ultra,7,340,75,14,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1000,ultra,8,408,81,14,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1000,ultra,9,466,57,15,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1000,ultra,10,350,73,15,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1000,ultra,11,338,58,15,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1000,ultra,12,333,70,10,3000,1000,30720,1,1,150,1950,Краснодар,1950.0
1001,smart,11,430,0,18,500,50,15360,3,3,200,550,Москва,1150.0
1001,smart,12,414,0,14,500,50,15360,3,3,200,550,Москва,550.0
1002,smart,6,117,4,11,500,50,15360,3,3,200,550,Стерлитамак,550.0
1002,smart,7,214,11,18,500,50,15360,3,3,200,550,Стерлитамак,1150.0
1002,smart,8,289,13,20,500,50,15360,3,3,200,550,Стерлитамак,1550.0
1002,smart,9,206,4,17,500,50,15360,3,3,200,550,Стерлитамак,950.0
1002,smart,10,212,10,14,500,50,15360,3,3,200,550,Стерлитамак,550.0
1002,smart,11,243,16,19,500,50,15360,3,3,200,550,Стерлитамак,1350.0
1002,smart,12,236,12,18,500,50,15360,3,3,200,550,Стерлитамак,1150.0
1003,ultra,8,380,37,9,3000,1000,30720,1,1,150,1950,Москва,1950.0
1003,ultra,9,961,91,13,3000,1000,30720,1,1,150,1950,Москва,1950.0
1003,ultra,10,855,83,15,3000,1000,30720,1,1,150,1950,Москва,1950.0
1003,ultra,11,824,94,12,3000,1000,30720,1,1,150,1950,Москва,1950.0
1003,ultra,12,802,75,10,3000,1000,30720,1,1,150,1950,Москва,1950.0
1004,ultra,5,35,95,14,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1004,ultra,6,171,134,18,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1004,ultra,7,135,181,22,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1004,ultra,8,137,151,28,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1004,ultra,9,117,146,15,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1004,ultra,10,145,165,19,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1004,ultra,11,117,158,16,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1004,ultra,12,130,162,18,3000,1000,30720,1,1,150,1950,Новокузнецк,1950.0
1005,smart,1,95,7,3,500,50,15360,3,3,200,550,Набережные Челны,550.0
1005,smart,2,456,38,8,500,50,15360,3,3,200,550,Набережные Челны,550.0
1005,smart,3,606,56,11,500,50,15360,3,3,200,550,Набережные Челны,886.0
1005,smart,4,712,41,10,500,50,15360,3,3,200,550,Набережные Челны,1186.0
1005,smart,5,595,42,8,500,50,15360,3,3,200,550,Набережные Челны,835.0
1005,smart,6,612,47,10,500,50,15360,3,3,200,550,Набережные Челны,886.0
1005,smart,7,569,56,8,500,50,15360,3,3,200,550,Набережные Челны,775.0
1005,smart,8,619,64,8,500,50,15360,3,3,200,550,Набережные Челны,949.0
1005,smart,9,479,52,7,500,50,15360,3,3,200,550,Набережные Челны,556.0
1005,smart,10,723,44,8,500,50,15360,3,3,200,550,Набережные Челны,1219.0
1005,smart,11,547,51,13,500,50,15360,3,3,200,550,Набережные Челны,694.0
1005,smart,12,592,54,9,500,50,15360,3,3,200,550,Набережные Челны,838.0
1006,smart,2,42,0,2,500,50,15360,3,3,200,550,Ульяновск,550.0
1006,smart,3,286,0,17,500,50,15360,3,3,200,550,Ульяновск,950.0
1006,smart,4,356,0,14,500,50,15360,3,3,200,550,Ульяновск,550.0
1006,smart,5,370,0,13,500,50,15360,3,3,200,550,Ульяновск,550.0
1006,smart,6,478,0,13,500,50,15360,3,3,200,550,Ульяновск,550.0
1006,smart,7,316,0,20,500,50,15360,3,3,200,550,Ульяновск,1550.0
1006,smart,8,275,0,19,500,50,15360,3,3,200,550,Ульяновск,1350.0
1006,smart,9,360,0,16,500,50,15360,3,3,200,550,Ульяновск,750.0
1006,smart,10,267,0,20,500,50,15360,3,3,200,550,Ульяновск,1550.0
1006,smart,11,372,0,13,500,50,15360,3,3,200,550,Ульяновск,550.0
1006,smart,12,379,0,19,500,50,15360,3,3,200,550,Ульяновск,1350.0
1007,smart,4,198,11,8,500,50,15360,3,3,200,550,Москва,550.0
1007,smart,5,480,39,18,500,50,15360,3,3,200,550,Москва,1150.0
1007,smart,6,545,26,14,500,50,15360,3,3,200,550,Москва,685.0
1007,smart,7,577,26,16,500,50,15360,3,3,200,550,Москва,981.0
1007,smart,8,458,27,21,500,50,15360,3,3,200,550,Москва,1750.0
1007,smart,9,655,31,13,500,50,15360,3,3,200,550,Москва,1015.0
1007,smart,10,465,18,15,500,50,15360,3,3,200,550,Москва,550.0
1007,smart,11,580,21,16,500,50,15360,3,3,200,550,Москва,990.0
1007,smart,12,421,26,13,500,50,15360,3,3,200,550,Москва,550.0
1008,smart,12,339,56,13,500,50,15360,3,3,200,550,Челябинск,568.0
1009,smart,3,109,2,8,500,50,15360,3,3,200,550,Пермь,550.0
1009,smart,4,324,14,15,500,50,15360,3,3,200,550,Пермь,550.0
1009,smart,5,170,7,14,500,50,15360,3,3,200,550,Пермь,550.0
1009,smart,6,289,14,16,500,50,15360,3,3,200,550,Пермь,750.0
1009,smart,7,183,14,25,500,50,15360,3,3,200,550,Пермь,2550.0
1009,smart,8,249,9,24,500,50,15360,3,3,200,550,Пермь,2350.0
1009,smart,9,133,12,22,500,50,15360,3,3,200,550,Пермь,1950.0
1009,smart,10,213,15,20,500,50,15360,3,3,200,550,Пермь,1550.0
1009,smart,11,290,11,17,500,50,15360,3,3,200,550,Пермь,950.0
1009,smart,12,229,12,19,500,50,15360,3,3,200,550,Пермь,1350.0
1010,smart,8,142,0,15,500,50,15360,3,3,200,550,Тюмень,550.0
1010,smart,9,142,0,16,500,50,15360,3,3,200,550,Тюмень,750.0
1010,smart,10,245,0,15,500,50,15360,3,3,200,550,Тюмень,550.0
1010,smart,11,290,0,19,500,50,15360,3,3,200,550,Тюмень,1350.0
1010,smart,12,336,0,19,500,50,15360,3,3,200,550,Тюмень,1350.0
1011,smart,3,212,4,6,500,50,15360,3,3,200,550,Самара,550.0
1011,smart,4,371,7,18,500,50,15360,3,3,200,550,Самара,1150.0
1011,smart,5,437,13,18,500,50,15360,3,3,200,550,Самара,1150.0
1011,smart,6,327,13,17,500,50,15360,3,3,200,550,Самара,950.0
1011,smart,7,502,13,19,500,50,15360,3,3,200,550,Самара,1356.0
1011,smart,8,515,15,21,500,50,15360,3,3,200,550,Самара,1795.0
1011,smart,9,472,10,22,500,50,15360,3,3,200,550,Самара,1950.0
1011,smart,10,630,17,18,500,50,15360,3,3,200,550,Самара,1540.0
1011,smart,11,501,12,25,500,50,15360,3,3,200,550,Самара,2553.0
1011,smart,12,361,6,23,500,50,15360,3,3,200,550,Самара,2150.0
1012,smart,3,13,2,3,500,50,15360,3,3,200,550,Санкт-Петербург,550.0
1012,smart,4,345,21,17,500,50,15360,3,3,200,550,Санкт-Петербург,950.0
1012,smart,5,316,10,26,500,50,15360,3,3,200,550,Санкт-Петербург,2750.0
1012,smart,6,219,15,25,500,50,15360,3,3,200,550,Санкт-Петербург,2550.0
1012,smart,7,223,12,23,500,50,15360,3,3,200,550,Санкт-Петербург,2150.0
1012,smart,8,157,23,22,500,50,15360,3,3,200,550,Санкт-Петербург,1950.0
1012,smart,9,230,14,19,500,50,15360,3,3,200,550,Санкт-Петербург,1350.0
1012,smart,10,451,13,29,500,50,15360,3,3,200,550,Санкт-Петербург,3350.0
1012,smart,11,206,25,22,500,50,15360,3,3,200,550,Санкт-Петербург,1950.0
1012,smart,12,356,15,14,500,50,15360,3,3,200,550,Санкт-Петербург,550.0
1013,ultra,11,369,17,10,3000,1000,30720,1,1,150,1950,Иваново,1950.0
1013,ultra,12,567,25,21,3000,1000,30720,1,1,150,1950,Иваново,1950.0
1014,smart,5,102,34,13,500,50,15360,3,3,200,550,Чебоксары,550.0
1014,smart,6,180,48,25,500,50,15360,3,3,200,550,Чебоксары,2550.0
1014,smart,7,300,39,28,500,50,15360,3,3,200,550,Чебоксары,3150.0
1014,smart,8,241,43,26,500,50,15360,3,3,200,550,Чебоксары,2750.0
1014,smart,9,250,48,26,500,50,15360,3,3,200,550,Чебоксары,2750.0
1014,smart,10,332,51,23,500,50,15360,3,3,200,550,Чебоксары,2153.0
1014,smart,11,237,36,25,500,50,15360,3,3,200,550,Чебоксары,2550.0
1014,smart,12,175,53,25,500,50,15360,3,3,200,550,Чебоксары,2559.0
1015,smart,4,11,3,1,500,50,15360,3,3,200,550,Челябинск,550.0
1015,smart,5,401,73,17,500,50,15360,3,3,200,550,Челябинск,1019.0
1015,smart,6,430,80,27,500,50,15360,3,3,200,550,Челябинск,3040.0
1015,smart,7,556,90,20,500,50,15360,3,3,200,550,Челябинск,1838.0
